Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,URL 1,URL 2,URL 3,URL 4,URL 5,URL 6,URL 7,URL 8,URL 9,URL 10,URL 11,URL 12,URL 13,URL 14,URL 15,URL 16,URL 17,URL 18,URL 19,URL 20
Hurricane Ivan (September 2004),Tropical Cyclone,20040912,20040921,34031.0,20500.5,57,https://www.cnn.com/2004/WEATHER/09/14/hurricane.ivan/,https://www.npr.org/2004/09/16/3921491/hurricane-ivan-hits-alabama-continues-north,https://www.cnn.com/2004/WEATHER/09/16/hurricane.ivan/index.html,,,,,,,,,,,,,,,,,
Spring Freeze (April 2007),Freeze,20070404,20070410,3188.5,2044.0,0,,,,,,,,,,,,,,,,,,,,
Western Wildfires (Summer-Fall 2009),Wildfire,20090601,20091130,1477.4,1011.9,10,,,,,,,,,,,,,,,,,,,,
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,20190223,20190225,1547.2,1237.5,2,,,,,,,,,,,,,,,,,,,,
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,20210210,20210219,27223.2,22686.0,262,https://www.npr.org/2021/02/16/968293872/winter-storm-not-over-yet-for-much-of-the-country,https://www.swtimes.com/story/news/2021/02/23/fort-smith-winter-storm-most-snowfall-low-temps-records-decades/6790674002/,https://www.cnn.com/2021/02/21/weather/texas-winter-storm-timeline,https://www.npr.org/2021/02/17/968665266/millions-still-without-power-as-winter-storm-wallops-texas,https://www.cnn.com/us/live-news/snow-ice-storm-power-outages-updates-02-18-21,,,,,,,,,,,,,,,
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,20180601,20181230,3797.4,2990.0,0,https://apnews.com/article/-----979512d6ca824f2c9314da0e1520d77a,https://apnews.com/united-states-government-weather-forecasts-general-news-dccc2f576e0c49299fb3730657bb2444,https://apnews.com/weather-general-news-39ea34d2239c481c99ca938e861f2d8b,https://www.dailydemocrat.com/2018/06/25/the-latest-drought-continues-as-monsoon-season-nears/,https://www.dailynews.com/summers-first-heat-wave-descends-on-southern-california/,https://www.cnn.com/2018/07/04/us/heat-wave-wxc,,,,,,,,,,,,,,
Louisiana Flooding (May 2021),Flooding,20210517,20210518,1569.6,1319.0,5,https://apnews.com/article/la-state-wire-louisiana-floods-361730669523013b9049bfcbcc958314,https://apnews.com/article/ms-state-wire-texas-louisiana-floods-environment-and-nature-2ee06356a85c1efe998ac87eec3b66e4,https://www.sandiegouniontribune.com/news/nation-world/story/2021-05-18/drenching-rains-flood-homes-swamp-cars-in-south-louisiana/,https://www.nola.com/news/hurricane/2021-hurricane-season-to-be-more-active-for-record-sixth-year-see-outlook/article_11ef9456-b977-11eb-aba0-935764e6b135.html,https://www.nola.com/news/hurricane/these-are-the-10-most-expensive-hurricanes-in-u-s-history-see-video-storm-tracks/article_cff6f988-9499-11eb-9f35-9387b108dc7f.html,https://www.cnn.com/2021/05/19/weather/texas-extreme-weather,,,,,,,,,,,,,,
Southeast Freeze (March 2017),Freeze,20170314,20170316,1300.0,1000.0,0,https://www.al.com/news/birmingham/2017/03/has_alabama_had_its_last_freez.html,,,,,,,,,,,,,,,,,,,
Severe Storms and Tornadoes (April 2002),Severe Storm,20020427,20020428,3663.9,2093.8,7,http://www.cnn.com/2002/WEATHER/04/29/storm.deaths/index.html,,,,,,,,,,,,,,,,,,,
Hurricane Nicholas (September 2021),Tropical Cyclone,20210914,20210918,1168.5,1016.0,0,https://www.al.com/news/2021/09/nicholas-strengthens-to-hurricane-ahead-of-texas-landfall.html,https://www.adn.com/nation-world/2021/09/14/deadly-flooding-feared-as-hurricane-nicholas-makes-landfall-in-texas/,https://www.latimes.com/world-nation/story/2021-09-14/hurricane-nicholas-makes-landfall-texas,https://www.npr.org/2021/09/14/1036860928/hurricane-nicholas-makes-landfall-on-the-texas-coast,https://www.npr.org/2021/09/14/1037096483/hurricane-nicholas-has-drenched-the-gulf-coast-including-louisiana-areas-hit-by-,https://www.cnn.com/2021/10/07/politics/climate-mental-health-race-deconstructed-newsletter,https://www.nola.com/news/hurricane/tropical-storm-nicholas-moves-slowly-across-louisiana-up-to-20-inches-of-rain-possible/article_eab3f92c-1551-11ec-85e7-77c145db576f.html,https://apnews.com/article/tropical-storm-nicholas-35477d4e990ac7c6de4c7c55e33c00fd,https://www.cnn.com/2021/09/14/us/five-things-september-14-trnd,https://transcripts.cnn.com/show/cnr?start_fileid=cnr_2021-09-19_21,,,,,,,,,,
